USDCAD.Open,USDCAD.High,USDCAD.Low,USDCAD.Close,Date,change.FX
1.36634,1.3745,1.342775,1.34736,May 2017,-0.01315381575086999
1.34974,1.351325,1.298265,1.298265,Jun 2017,-0.03711836460898055
1.296315,1.29876,1.24344,1.247872,Jul 2017,-0.03958905710594973
1.250433,1.274428,1.247376,1.257975,Aug 2017,0.008063584682176744
1.24303,1.2472,1.211768,1.2472,Sep 2017,-0.008602246505361621
1.247252,1.262746,1.246294,1.262746,Oct 2017,0.012387675910011497
