Date,OR
2017.833333333333,0.0103056157154436
2017.9166666666663,0.0105605711188219
2017.9999999999998,0.0101481859209059
2018.083333333333,0.0101501377561147
2018.1666666666663,0.0101473976907317
2018.2499999999998,0.0101614224613023
2018.333333333333,0.0101824495964706
2018.4166666666663,0.010196643839373
2018.4999999999998,0.010688852596489
2018.583333333333,0.0107020006356715
2018.6666666666663,0.0112202277394836
2018.7499999999998,0.0112222647646493
2018.833333333333,0.0112899814737017
2018.9166666666663,0.0113213245096669
2018.9999999999998,0.0112651070966898
2019.083333333333,0.0112656096151324
2019.1666666666663,0.0112817823961978
2019.2499999999998,0.0112760183048855
2019.333333333333,0.0112887876923166
2019.4166666666663,0.0113248925784783
2019.4999999999998,0.0113705730359523
2019.583333333333,0.0113849356071611
2019.6666666666663,0.0113818464234833
2019.7499999999998,0.0113911854033067
2019.833333333333,0.0114228403154715
2019.9166666666663,0.0114435273740845
2019.9999999999998,0.011460381039948
2020.083333333333,0.0114464380876458
2020.1666666666663,0.0114768489582761
2020.2499999999998,0.0114621874268479
2020.333333333333,0.0114854456670292
2020.4166666666663,0.0115108430275262
2020.4999999999998,0.0114864777215054
2020.583333333333,0.0114843378002617
2020.6666666666663,0.0114971659112307
2020.7499999999998,0.0115038516485992
2020.833333333333,0.0115051789855701
2020.9166666666663,0.0115329549166956
2020.9999999999998,0.011531585595697
2021.083333333333,0.011568035098365
2021.1666666666663,0.0115805021820779
2021.2499999999998,0.0115988582129637
2021.333333333333,0.0116139058346111
2021.4166666666663,0.0116197906463045
2021.4999999999998,0.0116369116105584
2021.583333333333,0.0116721890041545
2021.6666666666663,0.0116937978531059
2021.7499999999998,0.0116564927713656
2021.833333333333,0.0116458172793515
2021.9166666666663,0.0116686804462704
2021.9999999999998,0.0117277188475316
2022.083333333333,0.0117732071890892
2022.1666666666663,0.0117618763338803
2022.2499999999998,0.0118037313267031
2022.333333333333,0.0118151178230703
2022.4166666666663,0.0118147767184216
2022.4999999999998,0.0117906314910996
2022.583333333333,0.0118194129384164
2022.6666666666663,0.0118050415028729
2022.7499999999998,0.0118211079556875
2022.833333333333,0.0118645160282536
