X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Avg,Date
19357.51523536111,19657.910075401265,18236.609410657,18836.513290102568,17810.18949996236,16697.769896751513,17046.325807025252,17396.197248082484,14804.735526647173,17722.210396686354,17756.597638667707,Jun 2019
20127.569945749845,19713.558424208495,18561.294223775167,18659.293141577837,17958.616633841728,16976.52301634347,17089.167989020712,16580.45359974559,14954.705588466952,18007.473013179737,17862.865557590954,Jul 2019
19832.55923212431,20101.154881708942,18801.256465141592,18398.27101407836,17862.493809400123,16879.535568478153,17272.47765131844,16461.345897096242,15226.022889017031,17564.971227930895,17840.00886362941,Aug 2019
20148.13738327415,20112.520103185696,18575.525371836717,18543.673597963105,17710.456505839917,16895.476182626582,17551.989980498198,16575.61840547264,15474.160236262582,17503.51681734162,17909.10745843012,Sep 2019
19629.945430101194,20017.481653831896,18385.466950222562,18371.53033355117,18148.409152804197,18030.294439760775,18451.934861640486,16797.95594368389,15731.28954123371,17868.89569167786,18143.320399850774,Oct 2019
19444.76928612956,20469.61370072327,18766.7883193498,18039.24421389827,18493.711970305438,18574.788088927802,18218.54122336877,16635.131842210547,15812.97171577645,18508.267643669034,18296.382800435895,Nov 2019
19437.55916398347,20149.10259084468,18841.23703202091,18183.73508897371,18122.54174878972,19381.87238234922,18003.14976399211,16669.829545413464,16568.632259992068,18853.161828038672,18421.0821404398,Dec 2019
18140.082876112676,20543.480183709362,18486.80731334011,18377.19377741385,17420.486868327698,19897.293453294136,18460.670801986056,16641.111929598883,16580.434355867663,18631.628528529076,18317.91900881795,Jan 2020
18128.73924408788,20002.12981662499,18891.410399812776,17915.106237038035,17811.14170877633,20381.61189160522,18980.40069782112,17326.2740329532,17072.825943311673,18919.63358596483,18542.927355799606,Feb 2020
18701.425382812486,19774.395366519828,18337.776546665136,17728.920085589696,18061.305312977107,20190.510377949402,18453.670996298843,16875.50073198199,17457.933448298736,18763.036721261793,18434.4474970355,Mar 2020
18633.98801375491,19319.29947375209,18907.864518835075,18083.622444417346,17709.193741853833,20653.549018247122,19300.720669502443,16248.293670366767,17612.40587428868,19596.401850902133,18606.53392759204,Apr 2020
18742.034555478378,19088.739508897244,19166.967966756863,18904.29010662447,17011.321380012927,21801.976452041086,18867.5667933032,16998.733918239217,18176.639647724303,19186.20557945749,18794.447590853517,May 2020
18982.145541547485,18317.084560940548,19364.511347680756,18332.602582201616,16525.559993525825,21644.674964221027,18434.216852992995,17055.363596318075,18265.25742989711,19220.28354551148,18614.170041483692,Jun 2020
19105.497025184213,18598.23206993376,19278.014924636802,18754.38509712017,16514.465324494882,21655.98246103185,19139.613859729212,17030.410644487132,16893.802960646466,19012.96446030491,18598.33688275694,Jul 2020
18771.212451174193,19198.066262673543,19355.170984246583,19546.698342937878,16191.961181884079,22231.58562994639,19279.633393400974,16699.81290309593,17242.494677482344,18415.877824337054,18693.251365117896,Aug 2020
19293.01361151576,19660.874590614963,19489.052056370554,20076.253236180517,16081.740276268003,21446.451267510856,18866.940232209305,15998.558344669302,17585.98187495496,18928.322164775695,18742.71876550699,Sep 2020
19619.602298578393,20161.21774847967,19135.85702799891,19954.966291177432,15811.35536647203,21405.176729054376,18809.86159591495,16259.063917390193,17280.73441312753,19087.561193987767,18752.539658218124,Oct 2020
20114.416785826597,20244.620779828503,19301.78568109633,20269.97940629815,15648.17059506723,21476.597995026452,19118.409044397566,16446.816842017695,17549.887973151282,19409.83723512483,18958.052233783463,Nov 2020
19536.037855980176,20269.62001052324,18611.00762896503,21149.83564164574,15365.259376884746,21022.245472678205,19008.116502935383,17370.62412103213,17714.96848034445,19431.49194478179,18947.92070357709,Dec 2020
19934.14193108215,20806.38478634913,18452.268577933453,22069.692077261283,15449.853754907312,21270.019393534254,18955.104471264753,17597.504854206807,17644.50472317426,19996.61097483871,19217.60855445521,Jan 2021
19960.320645099433,21079.54417522844,18182.8806224055,21989.50821582552,15813.37709030424,22290.95717258374,18531.099064256803,16918.319575678717,17910.707931053596,20421.80366906445,19309.851816150043,Feb 2021
20504.76912587385,21418.83618930921,18038.51757688008,21772.92762831672,14957.70484824714,23586.29835772254,18834.017056144676,16572.410353966912,18411.283461253162,20359.906119483516,19445.66707171978,Mar 2021
20825.359581851564,21361.603409357504,18657.253794014985,21337.128106995002,15085.332595104343,23146.396632669286,18501.977844269153,16661.695435964688,18769.14411805828,21224.14438797774,19557.003590626253,Apr 2021
