X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Avg,Date
2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,2519.360107,Sep 2017
2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,2575.209961,Oct 2017
2676.6942136956563,2569.9244963204133,2143.03620423249,2716.0520565741162,2726.7162395207233,2682.736892370521,2567.064199700592,2166.3304933967866,2561.193651987711,2498.2627922579477,2530.801124005696,Nov 2017
2837.377591837056,2666.2521352526046,2182.227940567132,2792.5731192194635,2630.0579734310018,2773.3926477421046,2578.467142497562,2253.204261396145,2554.099461825709,2471.2629635953003,2573.891523736408,Dec 2017
2745.1685016700294,2497.673823352671,2300.7730397525665,2876.3729472151504,2585.211189287173,2738.2153624386765,2481.4614905298527,2192.160022470311,2608.6467203220764,2564.8921356738147,2559.057523271232,Jan 2018
2832.8997391813764,2547.6516989778333,2364.2974089140844,2896.7900627436866,2607.4564586934957,2670.547142861391,2531.3164315111203,2287.161799904392,2389.854564252896,2490.3663012257844,2561.834160826606,Feb 2018
3060.1656813121713,2538.6360841803835,2331.3238002493795,3030.9237961051235,2626.319763100921,2620.1757221720572,2507.939237799553,2221.7946509527146,2453.4418598382244,2581.026068374763,2597.174666408529,Mar 2018
3303.741448315198,2581.6457043310957,2435.1183750278815,2943.543766663263,2636.3113743137606,2460.025126175358,2465.4814723111517,2296.185916415445,2550.5416592963697,2610.7763372072786,2628.33711800568,Apr 2018
3290.064054374051,2726.704449198076,2420.802266701939,3001.670641654041,2432.406250524486,2306.775240570733,2457.2429756670444,2321.6235453817217,2576.2971368437593,2591.690392553368,2612.527695346922,May 2018
3290.2498130337945,2664.402361573844,2459.821001760742,2970.5180795464985,2485.5577915808935,2232.1467114299085,2584.27322227077,2292.149664922585,2470.177897075325,2559.5686619853836,2600.8865205179745,Jun 2018
3511.6187890494034,2658.232542706006,2468.6910016529323,2987.3731889577334,2556.3397930079036,2108.185642080312,2834.5857916333316,2280.93838234053,2604.7697997362643,2656.4709525900494,2666.720588375447,Jul 2018
3360.7774273201626,2722.815691172291,2302.0219760312625,2772.6482083725246,2546.0238188803396,1951.9287116006353,2920.0737419861102,2343.5659856571374,2609.5875020687577,2540.2032167593493,2606.964627984857,Aug 2018
3568.3514709637097,2815.2168380363314,2370.8385639392204,2699.0395473931458,2713.141293655849,1974.1369423194524,3215.789212817669,2383.9948998019336,2628.397477113451,2648.4800535682807,2701.7386299609043,Sep 2018
3551.9712685285494,2847.196264639242,2402.983931968807,2527.771128803969,2797.9422014280194,2045.873402834523,3257.1054468608354,2400.274211507844,2702.769853020718,2508.752550063804,2704.264025965631,Oct 2018
3595.579718454801,2964.5902774491346,2480.1350284937644,2691.773589924686,2607.4814317444047,2100.0289726246974,3269.149966737986,2386.852336493875,2657.829204962528,2580.6877705361926,2733.410829742207,Nov 2018
3641.4720717639834,2999.4869062299176,2311.282455014937,2678.4814972853464,2826.6586872997477,1976.8394279899026,3509.2289288138436,2566.262544271445,2632.4520688775456,2701.064738913976,2784.3229326460646,Dec 2018
3744.868052752576,3028.32510869812,2376.9652781565323,2707.9294204682806,2770.0780802043437,1764.0180672182491,3395.8228293388634,2622.6842349543085,2704.57991332858,2923.8860672555147,2803.9157052375367,Jan 2019
3749.200033268239,3035.75470332858,2353.7480362497777,2762.542947109121,2547.56479785888,1771.853354394722,3196.4760702038798,2561.4250021697844,2797.4225662753147,2878.084969985948,2765.4072480844247,Feb 2019
3631.598881274431,3026.7099215953235,2326.8999396916056,2714.882165397237,2511.4484307732005,1718.032727161424,2890.9013454764613,2552.497784171212,2465.7703726316136,2605.7453570102443,2644.448692518275,Mar 2019
3612.7332773902467,2911.038363185073,2423.412587803496,2744.308578181267,2584.1685246732777,1767.5147460619687,2945.9767618654873,2579.4895968901064,2499.8603388886145,2555.5523030549057,2662.4055077994444,Apr 2019
3686.0407039342936,2882.7581765171576,2302.5264220285053,2849.7807695524566,2543.270768930996,1815.8524156512945,3024.477386526702,2707.9865832025216,2556.3013680888726,2456.943670884581,2682.593826531738,May 2019
3450.897454816272,2847.548366836016,2131.419398586173,2837.305163723014,2498.571907724335,1907.0559000687404,3138.7004649938726,2622.976805778938,2711.8502459761735,2455.065736589705,2660.139144509324,Jun 2019
3604.8464009378863,2944.839117845319,2122.190973179984,2966.9581440018505,2245.501651965955,1894.1753559276685,3029.819178485691,2575.2502911211404,2782.517475694877,2330.625313779348,2649.672390293972,Jul 2019
3529.8978314189844,3048.0873932566287,2149.915023193417,2723.1411198379737,2214.7689507822734,2039.9956800976238,2939.119125746812,2499.791439852187,2740.6096573151935,2303.795346502428,2618.912156800352,Aug 2019
3575.1517281944966,2946.555058897642,2190.321972344291,2932.975340140709,2272.777170324902,2220.692659073186,3215.0384245415125,2547.832919846504,2745.1017816412254,2338.6327105929968,2698.5079765597466,Sep 2019
3450.090054534705,2978.342737907758,2162.165260779711,3025.2589869657677,2086.5718032306027,2048.800258319066,3216.629687073902,2572.3029870753717,2639.805593172444,2323.6464101981014,2650.361377925743,Oct 2019
3426.643020865069,3031.1808023394606,2114.746278517484,2987.061249594614,1959.9763595346521,2154.982819407929,3137.001052244323,2508.7154613632265,2544.6065812617258,2473.656147622391,2633.8569772750875,Nov 2019
